date,hour,CET/CEST time,price_sterling,
01/01/2017,23 - 00,00 - 01,"51,52",
01/01/2017,00 - 01,01 - 02,"51,95",
01/01/2017,01 - 02,02 - 03,"65,00",
01/01/2017,02 - 03,03 - 04,"51,97",
01/01/2017,03 - 04,04 - 05,"41,92",
01/01/2017,04 - 05,05 - 06,"38,97",
01/01/2017,05 - 06,06 - 07,"37,69",
01/01/2017,06 - 07,07 - 08,"37,38",
01/01/2017,07 - 08,08 - 09,"28,88",
01/01/2017,08 - 09,09 - 10,"35,15",
01/01/2017,09 - 10,10 - 11,"39,19",
01/01/2017,10 - 11,11 - 12,"44,88",
01/01/2017,11 - 12,12 - 13,"48,66",
01/01/2017,12 - 13,13 - 14,"55,01",
01/01/2017,13 - 14,14 - 15,"60,75",
01/01/2017,14 - 15,15 - 16,"58,00",
01/01/2017,15 - 16,16 - 17,"50,00",
01/01/2017,16 - 17,17 - 18,"55,00",
01/01/2017,17 - 18,18 - 19,"90,00",
01/01/2017,18 - 19,19 - 20,"55,00",
01/01/2017,19 - 20,20 - 21,"49,27",
01/01/2017,20 - 21,21 - 22,"51,80",
01/01/2017,21 - 22,22 - 23,"49,06",
01/01/2017,22 - 23,23 - 00,"43,46",
02/01/2017,23 - 00,00 - 01,"45,96",
02/01/2017,00 - 01,01 - 02,"43,95",
02/01/2017,01 - 02,02 - 03,"45,00",
02/01/2017,02 - 03,03 - 04,"43,97",
02/01/2017,03 - 04,04 - 05,"42,00",
02/01/2017,04 - 05,05 - 06,"41,14",
02/01/2017,05 - 06,06 - 07,"43,92",
02/01/2017,06 - 07,07 - 08,"51,74",
02/01/2017,07 - 08,08 - 09,"40,85",
02/01/2017,08 - 09,09 - 10,"43,07",
02/01/2017,09 - 10,10 - 11,"47,03",
02/01/2017,10 - 11,11 - 12,"48,10",
02/01/2017,11 - 12,12 - 13,"47,47",
02/01/2017,12 - 13,13 - 14,"53,31",
02/01/2017,13 - 14,14 - 15,"51,14",
02/01/2017,14 - 15,15 - 16,"49,91",
02/01/2017,15 - 16,16 - 17,"50,95",
02/01/2017,16 - 17,17 - 18,"64,42",
02/01/2017,17 - 18,18 - 19,"90,00",
02/01/2017,18 - 19,19 - 20,"66,27",
02/01/2017,19 - 20,20 - 21,"58,60",
02/01/2017,20 - 21,21 - 22,"51,16",
02/01/2017,21 - 22,22 - 23,"50,23",
02/01/2017,22 - 23,23 - 00,"43,05",
03/01/2017,23 - 00,00 - 01,"45,54",
03/01/2017,00 - 01,01 - 02,"46,03",
03/01/2017,01 - 02,02 - 03,"42,98",
03/01/2017,02 - 03,03 - 04,"39,27",
03/01/2017,03 - 04,04 - 05,"37,72",
03/01/2017,04 - 05,05 - 06,"40,42",
03/01/2017,05 - 06,06 - 07,"42,80",
03/01/2017,06 - 07,07 - 08,"50,55",
03/01/2017,07 - 08,08 - 09,"47,57",
03/01/2017,08 - 09,09 - 10,"52,10",
03/01/2017,09 - 10,10 - 11,"56,27",
03/01/2017,10 - 11,11 - 12,"51,63",
03/01/2017,11 - 12,12 - 13,"48,18",
03/01/2017,12 - 13,13 - 14,"47,60",
03/01/2017,13 - 14,14 - 15,"47,58",
03/01/2017,14 - 15,15 - 16,"47,57",
03/01/2017,15 - 16,16 - 17,"50,70",
03/01/2017,16 - 17,17 - 18,"68,88",
03/01/2017,17 - 18,18 - 19,"114,28",
03/01/2017,18 - 19,19 - 20,"75,10",
03/01/2017,19 - 20,20 - 21,"56,33",
03/01/2017,20 - 21,21 - 22,"59,48",
03/01/2017,21 - 22,22 - 23,"46,08",
03/01/2017,22 - 23,23 - 00,"42,51",
04/01/2017,23 - 00,00 - 01,"39,50",
04/01/2017,00 - 01,01 - 02,"43,96",
04/01/2017,01 - 02,02 - 03,"42,06",
04/01/2017,02 - 03,03 - 04,"40,86",
04/01/2017,03 - 04,04 - 05,"38,00",
04/01/2017,04 - 05,05 - 06,"37,99",
04/01/2017,05 - 06,06 - 07,"41,45",
04/01/2017,06 - 07,07 - 08,"48,73",
04/01/2017,07 - 08,08 - 09,"47,53",
04/01/2017,08 - 09,09 - 10,"50,54",
04/01/2017,09 - 10,10 - 11,"53,72",
04/01/2017,10 - 11,11 - 12,"54,88",
04/01/2017,11 - 12,12 - 13,"51,99",
04/01/2017,12 - 13,13 - 14,"48,05",
04/01/2017,13 - 14,14 - 15,"47,57",
04/01/2017,14 - 15,15 - 16,"47,27",
04/01/2017,15 - 16,16 - 17,"56,46",
04/01/2017,16 - 17,17 - 18,"62,99",
04/01/2017,17 - 18,18 - 19,"122,37",
04/01/2017,18 - 19,19 - 20,"80,01",
04/01/2017,19 - 20,20 - 21,"59,95",
04/01/2017,20 - 21,21 - 22,"54,33",
04/01/2017,21 - 22,22 - 23,"49,83",
04/01/2017,22 - 23,23 - 00,"43,59",
05/01/2017,23 - 00,00 - 01,"42,55",
05/01/2017,00 - 01,01 - 02,"42,15",
05/01/2017,01 - 02,02 - 03,"41,54",
05/01/2017,02 - 03,03 - 04,"39,43",
05/01/2017,03 - 04,04 - 05,"36,86",
05/01/2017,04 - 05,05 - 06,"37,54",
05/01/2017,05 - 06,06 - 07,"41,53",
05/01/2017,06 - 07,07 - 08,"48,88",
05/01/2017,07 - 08,08 - 09,"50,84",
05/01/2017,08 - 09,09 - 10,"53,00",
05/01/2017,09 - 10,10 - 11,"58,96",
05/01/2017,10 - 11,11 - 12,"52,96",
05/01/2017,11 - 12,12 - 13,"46,57",
05/01/2017,12 - 13,13 - 14,"46,51",
05/01/2017,13 - 14,14 - 15,"46,08",
05/01/2017,14 - 15,15 - 16,"47,42",
05/01/2017,15 - 16,16 - 17,"57,50",
05/01/2017,16 - 17,17 - 18,"65,59",
05/01/2017,17 - 18,18 - 19,"125,00",
05/01/2017,18 - 19,19 - 20,"77,95",
05/01/2017,19 - 20,20 - 21,"59,02",
05/01/2017,20 - 21,21 - 22,"52,17",
05/01/2017,21 - 22,22 - 23,"47,29",
05/01/2017,22 - 23,23 - 00,"41,53",
06/01/2017,23 - 00,00 - 01,"43,60",
06/01/2017,00 - 01,01 - 02,"44,96",
06/01/2017,01 - 02,02 - 03,"43,41",
06/01/2017,02 - 03,03 - 04,"40,10",
06/01/2017,03 - 04,04 - 05,"38,93",
06/01/2017,04 - 05,05 - 06,"38,00",
06/01/2017,05 - 06,06 - 07,"41,91",
06/01/2017,06 - 07,07 - 08,"46,69",
06/01/2017,07 - 08,08 - 09,"46,67",
06/01/2017,08 - 09,09 - 10,"54,98",
06/01/2017,09 - 10,10 - 11,"54,47",
06/01/2017,10 - 11,11 - 12,"50,72",
06/01/2017,11 - 12,12 - 13,"47,06",
06/01/2017,12 - 13,13 - 14,"48,34",
06/01/2017,13 - 14,14 - 15,"46,59",
06/01/2017,14 - 15,15 - 16,"46,06",
06/01/2017,15 - 16,16 - 17,"46,53",
06/01/2017,16 - 17,17 - 18,"58,74",
06/01/2017,17 - 18,18 - 19,"99,00",
06/01/2017,18 - 19,19 - 20,"61,23",
06/01/2017,19 - 20,20 - 21,"50,07",
06/01/2017,20 - 21,21 - 22,"50,00",
06/01/2017,21 - 22,22 - 23,"51,51",
06/01/2017,22 - 23,23 - 00,"42,07",
07/01/2017,23 - 00,00 - 01,"45,97",
07/01/2017,00 - 01,01 - 02,"46,06",
07/01/2017,01 - 02,02 - 03,"43,30",
07/01/2017,02 - 03,03 - 04,"41,40",
07/01/2017,03 - 04,04 - 05,"40,10",
07/01/2017,04 - 05,05 - 06,"40,92",
07/01/2017,05 - 06,06 - 07,"40,34",
07/01/2017,06 - 07,07 - 08,"37,91",
07/01/2017,07 - 08,08 - 09,"40,00",
07/01/2017,08 - 09,09 - 10,"41,83",
07/01/2017,09 - 10,10 - 11,"53,00",
07/01/2017,10 - 11,11 - 12,"53,91",
07/01/2017,11 - 12,12 - 13,"53,47",
07/01/2017,12 - 13,13 - 14,"53,26",
07/01/2017,13 - 14,14 - 15,"46,04",
07/01/2017,14 - 15,15 - 16,"44,51",
07/01/2017,15 - 16,16 - 17,"49,38",
07/01/2017,16 - 17,17 - 18,"61,53",
07/01/2017,17 - 18,18 - 19,"92,60",
07/01/2017,18 - 19,19 - 20,"68,55",
07/01/2017,19 - 20,20 - 21,"57,02",
07/01/2017,20 - 21,21 - 22,"50,14",
07/01/2017,21 - 22,22 - 23,"48,52",
07/01/2017,22 - 23,23 - 00,"40,99",
08/01/2017,23 - 00,00 - 01,"44,03",
08/01/2017,00 - 01,01 - 02,"44,80",
08/01/2017,01 - 02,02 - 03,"46,32",
08/01/2017,02 - 03,03 - 04,"41,94",
08/01/2017,03 - 04,04 - 05,"40,08",
08/01/2017,04 - 05,05 - 06,"40,08",
08/01/2017,05 - 06,06 - 07,"39,37",
08/01/2017,06 - 07,07 - 08,"41,86",
08/01/2017,07 - 08,08 - 09,"35,01",
08/01/2017,08 - 09,09 - 10,"39,00",
08/01/2017,09 - 10,10 - 11,"48,49",
08/01/2017,10 - 11,11 - 12,"49,07",
08/01/2017,11 - 12,12 - 13,"56,03",
08/01/2017,12 - 13,13 - 14,"53,95",
08/01/2017,13 - 14,14 - 15,"47,90",
08/01/2017,14 - 15,15 - 16,"46,38",
08/01/2017,15 - 16,16 - 17,"47,32",
08/01/2017,16 - 17,17 - 18,"60,76",
08/01/2017,17 - 18,18 - 19,"94,95",
08/01/2017,18 - 19,19 - 20,"67,48",
08/01/2017,19 - 20,20 - 21,"58,82",
08/01/2017,20 - 21,21 - 22,"55,00",
08/01/2017,21 - 22,22 - 23,"41,16",
08/01/2017,22 - 23,23 - 00,"35,65",
09/01/2017,23 - 00,00 - 01,"39,78",
09/01/2017,00 - 01,01 - 02,"42,57",
09/01/2017,01 - 02,02 - 03,"41,79",
09/01/2017,02 - 03,03 - 04,"37,49",
09/01/2017,03 - 04,04 - 05,"34,00",
09/01/2017,04 - 05,05 - 06,"33,00",
09/01/2017,05 - 06,06 - 07,"37,55",
09/01/2017,06 - 07,07 - 08,"47,82",
09/01/2017,07 - 08,08 - 09,"46,39",
09/01/2017,08 - 09,09 - 10,"56,29",
09/01/2017,09 - 10,10 - 11,"55,21",
09/01/2017,10 - 11,11 - 12,"51,39",
09/01/2017,11 - 12,12 - 13,"50,20",
09/01/2017,12 - 13,13 - 14,"46,96",
09/01/2017,13 - 14,14 - 15,"43,54",
09/01/2017,14 - 15,15 - 16,"41,46",
09/01/2017,15 - 16,16 - 17,"43,54",
09/01/2017,16 - 17,17 - 18,"64,73",
09/01/2017,17 - 18,18 - 19,"82,38",
09/01/2017,18 - 19,19 - 20,"66,89",
09/01/2017,19 - 20,20 - 21,"59,83",
09/01/2017,20 - 21,21 - 22,"52,46",
09/01/2017,21 - 22,22 - 23,"40,48",
09/01/2017,22 - 23,23 - 00,"28,87",
10/01/2017,23 - 00,00 - 01,"41,90",
10/01/2017,00 - 01,01 - 02,"42,56",
10/01/2017,01 - 02,02 - 03,"40,93",
10/01/2017,02 - 03,03 - 04,"40,02",
10/01/2017,03 - 04,04 - 05,"36,54",
10/01/2017,04 - 05,05 - 06,"33,70",
10/01/2017,05 - 06,06 - 07,"38,99",
10/01/2017,06 - 07,07 - 08,"46,10",
10/01/2017,07 - 08,08 - 09,"44,82",
10/01/2017,08 - 09,09 - 10,"49,50",
10/01/2017,09 - 10,10 - 11,"49,13",
10/01/2017,10 - 11,11 - 12,"47,85",
10/01/2017,11 - 12,12 - 13,"51,06",
10/01/2017,12 - 13,13 - 14,"45,99",
10/01/2017,13 - 14,14 - 15,"51,43",
10/01/2017,14 - 15,15 - 16,"54,50",
10/01/2017,15 - 16,16 - 17,"55,31",
10/01/2017,16 - 17,17 - 18,"74,69",
10/01/2017,17 - 18,18 - 19,"89,20",
10/01/2017,18 - 19,19 - 20,"74,59",
10/01/2017,19 - 20,20 - 21,"55,11",
10/01/2017,20 - 21,21 - 22,"58,39",
10/01/2017,21 - 22,22 - 23,"47,06",
10/01/2017,22 - 23,23 - 00,"40,81",
11/01/2017,23 - 00,00 - 01,"45,06",
11/01/2017,00 - 01,01 - 02,"49,91",
11/01/2017,01 - 02,02 - 03,"45,04",
11/01/2017,02 - 03,03 - 04,"41,96",
11/01/2017,03 - 04,04 - 05,"39,91",
11/01/2017,04 - 05,05 - 06,"35,91",
11/01/2017,05 - 06,06 - 07,"40,02",
11/01/2017,06 - 07,07 - 08,"45,93",
11/01/2017,07 - 08,08 - 09,"49,40",
11/01/2017,08 - 09,09 - 10,"48,82",
11/01/2017,09 - 10,10 - 11,"52,96",
11/01/2017,10 - 11,11 - 12,"55,00",
11/01/2017,11 - 12,12 - 13,"51,32",
11/01/2017,12 - 13,13 - 14,"46,85",
11/01/2017,13 - 14,14 - 15,"48,56",
11/01/2017,14 - 15,15 - 16,"53,04",
11/01/2017,15 - 16,16 - 17,"50,00",
11/01/2017,16 - 17,17 - 18,"59,82",
11/01/2017,17 - 18,18 - 19,"81,51",
11/01/2017,18 - 19,19 - 20,"71,25",
11/01/2017,19 - 20,20 - 21,"59,09",
11/01/2017,20 - 21,21 - 22,"53,27",
11/01/2017,21 - 22,22 - 23,"49,82",
11/01/2017,22 - 23,23 - 00,"41,91",
12/01/2017,23 - 00,00 - 01,"43,96",
12/01/2017,00 - 01,01 - 02,"46,95",
12/01/2017,01 - 02,02 - 03,"45,00",
12/01/2017,02 - 03,03 - 04,"43,54",
12/01/2017,03 - 04,04 - 05,"41,07",
12/01/2017,04 - 05,05 - 06,"40,93",
12/01/2017,05 - 06,06 - 07,"44,90",
12/01/2017,06 - 07,07 - 08,"49,82",
12/01/2017,07 - 08,08 - 09,"46,95",
12/01/2017,08 - 09,09 - 10,"48,00",
12/01/2017,09 - 10,10 - 11,"49,49",
12/01/2017,10 - 11,11 - 12,"53,66",
12/01/2017,11 - 12,12 - 13,"60,00",
12/01/2017,12 - 13,13 - 14,"62,25",
12/01/2017,13 - 14,14 - 15,"57,63",
12/01/2017,14 - 15,15 - 16,"50,00",
12/01/2017,15 - 16,16 - 17,"45,00",
12/01/2017,16 - 17,17 - 18,"67,78",
12/01/2017,17 - 18,18 - 19,"79,99",
12/01/2017,18 - 19,19 - 20,"68,89",
12/01/2017,19 - 20,20 - 21,"60,00",
12/01/2017,20 - 21,21 - 22,"52,02",
12/01/2017,21 - 22,22 - 23,"49,95",
12/01/2017,22 - 23,23 - 00,"43,60",
13/01/2017,23 - 00,00 - 01,"50,07",
13/01/2017,00 - 01,01 - 02,"45,37",
13/01/2017,01 - 02,02 - 03,"44,46",
13/01/2017,02 - 03,03 - 04,"42,90",
13/01/2017,03 - 04,04 - 05,"38,70",
13/01/2017,04 - 05,05 - 06,"41,04",
13/01/2017,05 - 06,06 - 07,"44,09",
13/01/2017,06 - 07,07 - 08,"47,17",
13/01/2017,07 - 08,08 - 09,"56,24",
13/01/2017,08 - 09,09 - 10,"57,97",
13/01/2017,09 - 10,10 - 11,"56,98",
13/01/2017,10 - 11,11 - 12,"54,49",
13/01/2017,11 - 12,12 - 13,"54,03",
13/01/2017,12 - 13,13 - 14,"55,00",
13/01/2017,13 - 14,14 - 15,"47,57",
13/01/2017,14 - 15,15 - 16,"48,09",
13/01/2017,15 - 16,16 - 17,"47,07",
13/01/2017,16 - 17,17 - 18,"63,58",
13/01/2017,17 - 18,18 - 19,"89,51",
13/01/2017,18 - 19,19 - 20,"81,22",
13/01/2017,19 - 20,20 - 21,"65,49",
13/01/2017,20 - 21,21 - 22,"58,04",
13/01/2017,21 - 22,22 - 23,"52,06",
13/01/2017,22 - 23,23 - 00,"47,99",
14/01/2017,23 - 00,00 - 01,"47,95",
14/01/2017,00 - 01,01 - 02,"49,91",
14/01/2017,01 - 02,02 - 03,"48,42",
14/01/2017,02 - 03,03 - 04,"44,00",
14/01/2017,03 - 04,04 - 05,"42,50",
14/01/2017,04 - 05,05 - 06,"41,33",
14/01/2017,05 - 06,06 - 07,"41,90",
14/01/2017,06 - 07,07 - 08,"43,03",
14/01/2017,07 - 08,08 - 09,"43,40",
14/01/2017,08 - 09,09 - 10,"47,24",
14/01/2017,09 - 10,10 - 11,"53,82",
14/01/2017,10 - 11,11 - 12,"56,52",
14/01/2017,11 - 12,12 - 13,"54,10",
14/01/2017,12 - 13,13 - 14,"52,10",
14/01/2017,13 - 14,14 - 15,"50,22",
14/01/2017,14 - 15,15 - 16,"49,70",
14/01/2017,15 - 16,16 - 17,"46,92",
14/01/2017,16 - 17,17 - 18,"62,02",
14/01/2017,17 - 18,18 - 19,"94,96",
14/01/2017,18 - 19,19 - 20,"74,95",
14/01/2017,19 - 20,20 - 21,"65,40",
14/01/2017,20 - 21,21 - 22,"59,35",
14/01/2017,21 - 22,22 - 23,"48,43",
14/01/2017,22 - 23,23 - 00,"44,04",
15/01/2017,23 - 00,00 - 01,"55,21",
15/01/2017,00 - 01,01 - 02,"49,92",
15/01/2017,01 - 02,02 - 03,"46,88",
15/01/2017,02 - 03,03 - 04,"43,91",
15/01/2017,03 - 04,04 - 05,"42,55",
15/01/2017,04 - 05,05 - 06,"40,99",
15/01/2017,05 - 06,06 - 07,"38,00",
15/01/2017,06 - 07,07 - 08,"42,10",
15/01/2017,07 - 08,08 - 09,"38,99",
15/01/2017,08 - 09,09 - 10,"40,99",
15/01/2017,09 - 10,10 - 11,"49,07",
15/01/2017,10 - 11,11 - 12,"50,00",
15/01/2017,11 - 12,12 - 13,"56,72",
15/01/2017,12 - 13,13 - 14,"55,98",
15/01/2017,13 - 14,14 - 15,"52,20",
15/01/2017,14 - 15,15 - 16,"51,29",
15/01/2017,15 - 16,16 - 17,"48,61",
15/01/2017,16 - 17,17 - 18,"62,21",
15/01/2017,17 - 18,18 - 19,"91,36",
15/01/2017,18 - 19,19 - 20,"73,47",
15/01/2017,19 - 20,20 - 21,"65,24",
15/01/2017,20 - 21,21 - 22,"62,90",
15/01/2017,21 - 22,22 - 23,"51,99",
15/01/2017,22 - 23,23 - 00,"44,05",
16/01/2017,23 - 00,00 - 01,"47,01",
16/01/2017,00 - 01,01 - 02,"45,60",
16/01/2017,01 - 02,02 - 03,"42,82",
16/01/2017,02 - 03,03 - 04,"38,00",
16/01/2017,03 - 04,04 - 05,"36,55",
16/01/2017,04 - 05,05 - 06,"40,99",
16/01/2017,05 - 06,06 - 07,"44,20",
16/01/2017,06 - 07,07 - 08,"59,63",
16/01/2017,07 - 08,08 - 09,"46,60",
16/01/2017,08 - 09,09 - 10,"51,36",
16/01/2017,09 - 10,10 - 11,"54,92",
16/01/2017,10 - 11,11 - 12,"51,50",
16/01/2017,11 - 12,12 - 13,"57,69",
16/01/2017,12 - 13,13 - 14,"60,80",
16/01/2017,13 - 14,14 - 15,"60,40",
16/01/2017,14 - 15,15 - 16,"71,90",
16/01/2017,15 - 16,16 - 17,"64,92",
16/01/2017,16 - 17,17 - 18,"107,02",
16/01/2017,17 - 18,18 - 19,"112,12",
16/01/2017,18 - 19,19 - 20,"101,53",
16/01/2017,19 - 20,20 - 21,"79,94",
16/01/2017,20 - 21,21 - 22,"63,90",
16/01/2017,21 - 22,22 - 23,"47,02",
16/01/2017,22 - 23,23 - 00,"42,03",
17/01/2017,23 - 00,00 - 01,"43,71",
17/01/2017,00 - 01,01 - 02,"44,53",
17/01/2017,01 - 02,02 - 03,"44,01",
17/01/2017,02 - 03,03 - 04,"41,59",
17/01/2017,03 - 04,04 - 05,"40,00",
17/01/2017,04 - 05,05 - 06,"39,97",
17/01/2017,05 - 06,06 - 07,"40,45",
17/01/2017,06 - 07,07 - 08,"45,00",
17/01/2017,07 - 08,08 - 09,"58,00",
17/01/2017,08 - 09,09 - 10,"74,08",
17/01/2017,09 - 10,10 - 11,"79,98",
17/01/2017,10 - 11,11 - 12,"79,92",
17/01/2017,11 - 12,12 - 13,"75,02",
17/01/2017,12 - 13,13 - 14,"74,47",
17/01/2017,13 - 14,14 - 15,"59,82",
17/01/2017,14 - 15,15 - 16,"59,71",
17/01/2017,15 - 16,16 - 17,"66,00",
17/01/2017,16 - 17,17 - 18,"122,66",
17/01/2017,17 - 18,18 - 19,"146,12",
17/01/2017,18 - 19,19 - 20,"118,42",
17/01/2017,19 - 20,20 - 21,"84,98",
17/01/2017,20 - 21,21 - 22,"54,44",
17/01/2017,21 - 22,22 - 23,"49,00",
17/01/2017,22 - 23,23 - 00,"42,69",
18/01/2017,23 - 00,00 - 01,"44,66",
18/01/2017,00 - 01,01 - 02,"44,00",
18/01/2017,01 - 02,02 - 03,"43,01",
18/01/2017,02 - 03,03 - 04,"42,04",
18/01/2017,03 - 04,04 - 05,"41,02",
18/01/2017,04 - 05,05 - 06,"39,94",
18/01/2017,05 - 06,06 - 07,"41,09",
18/01/2017,06 - 07,07 - 08,"47,00",
18/01/2017,07 - 08,08 - 09,"51,09",
18/01/2017,08 - 09,09 - 10,"64,97",
18/01/2017,09 - 10,10 - 11,"59,50",
18/01/2017,10 - 11,11 - 12,"60,00",
18/01/2017,11 - 12,12 - 13,"62,42",
18/01/2017,12 - 13,13 - 14,"55,41",
18/01/2017,13 - 14,14 - 15,"50,00",
18/01/2017,14 - 15,15 - 16,"52,39",
18/01/2017,15 - 16,16 - 17,"78,00",
18/01/2017,16 - 17,17 - 18,"105,00",
18/01/2017,17 - 18,18 - 19,"139,94",
18/01/2017,18 - 19,19 - 20,"105,35",
18/01/2017,19 - 20,20 - 21,"84,94",
18/01/2017,20 - 21,21 - 22,"56,66",
18/01/2017,21 - 22,22 - 23,"48,01",
18/01/2017,22 - 23,23 - 00,"42,58",
19/01/2017,23 - 00,00 - 01,"43,30",
19/01/2017,00 - 01,01 - 02,"43,57",
19/01/2017,01 - 02,02 - 03,"43,07",
19/01/2017,02 - 03,03 - 04,"42,55",
19/01/2017,03 - 04,04 - 05,"41,96",
19/01/2017,04 - 05,05 - 06,"41,02",
19/01/2017,05 - 06,06 - 07,"42,50",
19/01/2017,06 - 07,07 - 08,"47,34",
19/01/2017,07 - 08,08 - 09,"51,93",
19/01/2017,08 - 09,09 - 10,"49,05",
19/01/2017,09 - 10,10 - 11,"61,60",
19/01/2017,10 - 11,11 - 12,"54,44",
19/01/2017,11 - 12,12 - 13,"56,86",
19/01/2017,12 - 13,13 - 14,"59,97",
19/01/2017,13 - 14,14 - 15,"54,10",
19/01/2017,14 - 15,15 - 16,"48,00",
19/01/2017,15 - 16,16 - 17,"61,10",
19/01/2017,16 - 17,17 - 18,"84,87",
19/01/2017,17 - 18,18 - 19,"113,81",
19/01/2017,18 - 19,19 - 20,"98,31",
19/01/2017,19 - 20,20 - 21,"79,70",
19/01/2017,20 - 21,21 - 22,"54,44",
19/01/2017,21 - 22,22 - 23,"45,06",
19/01/2017,22 - 23,23 - 00,"43,32",
20/01/2017,23 - 00,00 - 01,"45,08",
20/01/2017,00 - 01,01 - 02,"45,44",
20/01/2017,01 - 02,02 - 03,"44,96",
20/01/2017,02 - 03,03 - 04,"43,09",
20/01/2017,03 - 04,04 - 05,"41,99",
20/01/2017,04 - 05,05 - 06,"41,66",
20/01/2017,05 - 06,06 - 07,"43,97",
20/01/2017,06 - 07,07 - 08,"45,51",
20/01/2017,07 - 08,08 - 09,"52,00",
20/01/2017,08 - 09,09 - 10,"63,47",
20/01/2017,09 - 10,10 - 11,"64,96",
20/01/2017,10 - 11,11 - 12,"58,53",
20/01/2017,11 - 12,12 - 13,"45,53",
20/01/2017,12 - 13,13 - 14,"45,37",
20/01/2017,13 - 14,14 - 15,"45,08",
20/01/2017,14 - 15,15 - 16,"45,04",
20/01/2017,15 - 16,16 - 17,"45,26",
20/01/2017,16 - 17,17 - 18,"77,19",
20/01/2017,17 - 18,18 - 19,"96,11",
20/01/2017,18 - 19,19 - 20,"62,96",
20/01/2017,19 - 20,20 - 21,"59,05",
20/01/2017,20 - 21,21 - 22,"50,32",
20/01/2017,21 - 22,22 - 23,"49,50",
20/01/2017,22 - 23,23 - 00,"43,49",
21/01/2017,23 - 00,00 - 01,"45,99",
21/01/2017,00 - 01,01 - 02,"50,06",
21/01/2017,01 - 02,02 - 03,"46,36",
21/01/2017,02 - 03,03 - 04,"44,98",
21/01/2017,03 - 04,04 - 05,"43,52",
21/01/2017,04 - 05,05 - 06,"41,94",
21/01/2017,05 - 06,06 - 07,"42,93",
21/01/2017,06 - 07,07 - 08,"41,02",
21/01/2017,07 - 08,08 - 09,"43,86",
21/01/2017,08 - 09,09 - 10,"47,26",
21/01/2017,09 - 10,10 - 11,"54,44",
21/01/2017,10 - 11,11 - 12,"56,00",
21/01/2017,11 - 12,12 - 13,"53,96",
21/01/2017,12 - 13,13 - 14,"50,00",
21/01/2017,13 - 14,14 - 15,"45,54",
21/01/2017,14 - 15,15 - 16,"45,52",
21/01/2017,15 - 16,16 - 17,"45,09",
21/01/2017,16 - 17,17 - 18,"58,73",
21/01/2017,17 - 18,18 - 19,"80,01",
21/01/2017,18 - 19,19 - 20,"80,01",
21/01/2017,19 - 20,20 - 21,"59,77",
21/01/2017,20 - 21,21 - 22,"53,09",
21/01/2017,21 - 22,22 - 23,"52,04",
21/01/2017,22 - 23,23 - 00,"45,03",
22/01/2017,23 - 00,00 - 01,"46,54",
22/01/2017,00 - 01,01 - 02,"47,34",
22/01/2017,01 - 02,02 - 03,"48,36",
22/01/2017,02 - 03,03 - 04,"44,53",
22/01/2017,03 - 04,04 - 05,"43,50",
22/01/2017,04 - 05,05 - 06,"41,98",
22/01/2017,05 - 06,06 - 07,"41,19",
22/01/2017,06 - 07,07 - 08,"43,05",
22/01/2017,07 - 08,08 - 09,"42,86",
22/01/2017,08 - 09,09 - 10,"43,62",
22/01/2017,09 - 10,10 - 11,"49,42",
22/01/2017,10 - 11,11 - 12,"63,40",
22/01/2017,11 - 12,12 - 13,"53,00",
22/01/2017,12 - 13,13 - 14,"54,71",
22/01/2017,13 - 14,14 - 15,"50,77",
22/01/2017,14 - 15,15 - 16,"49,48",
22/01/2017,15 - 16,16 - 17,"51,73",
22/01/2017,16 - 17,17 - 18,"56,92",
22/01/2017,17 - 18,18 - 19,"84,26",
22/01/2017,18 - 19,19 - 20,"81,60",
22/01/2017,19 - 20,20 - 21,"69,91",
22/01/2017,20 - 21,21 - 22,"62,00",
22/01/2017,21 - 22,22 - 23,"50,39",
22/01/2017,22 - 23,23 - 00,"44,03",
23/01/2017,23 - 00,00 - 01,"44,05",
23/01/2017,00 - 01,01 - 02,"45,03",
23/01/2017,01 - 02,02 - 03,"44,58",
23/01/2017,02 - 03,03 - 04,"44,03",
23/01/2017,03 - 04,04 - 05,"43,91",
23/01/2017,04 - 05,05 - 06,"42,60",
23/01/2017,05 - 06,06 - 07,"41,99",
23/01/2017,06 - 07,07 - 08,"50,36",
23/01/2017,07 - 08,08 - 09,"49,90",
23/01/2017,08 - 09,09 - 10,"57,78",
23/01/2017,09 - 10,10 - 11,"65,16",
23/01/2017,10 - 11,11 - 12,"55,93",
23/01/2017,11 - 12,12 - 13,"57,36",
23/01/2017,12 - 13,13 - 14,"55,10",
23/01/2017,13 - 14,14 - 15,"55,47",
23/01/2017,14 - 15,15 - 16,"55,07",
23/01/2017,15 - 16,16 - 17,"55,47",
23/01/2017,16 - 17,17 - 18,"92,97",
23/01/2017,17 - 18,18 - 19,"111,01",
23/01/2017,18 - 19,19 - 20,"80,00",
23/01/2017,19 - 20,20 - 21,"57,97",
23/01/2017,20 - 21,21 - 22,"66,57",
23/01/2017,21 - 22,22 - 23,"45,17",
23/01/2017,22 - 23,23 - 00,"43,70",
24/01/2017,23 - 00,00 - 01,"46,65",
24/01/2017,00 - 01,01 - 02,"45,74",
24/01/2017,01 - 02,02 - 03,"45,05",
24/01/2017,02 - 03,03 - 04,"44,54",
24/01/2017,03 - 04,04 - 05,"43,55",
24/01/2017,04 - 05,05 - 06,"43,07",
24/01/2017,05 - 06,06 - 07,"44,22",
